,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
152,Pape Cheikh Diop,Lyon,Senegal,23,9,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,-
153,Assane Dioussé,Saint-Étienne,Senegal,23,1347,1,0,4,0,69%,40%,45%,0.9,71.5,0.7,56.9,85%,0.00,1,0.9,0.7,0,0.7,0.2,9,0.0,0,0,0.06,0.06,30%,6.3
154,Koffi Djidji,Nantes,Côte d’Ivoire,27,2417,0,0,2,0,73%,66%,64%,4.0,50.0,1.8,30.3,76%,0.00,0,0.5,0.8,0,0.3,0.1,10,0.0,0,0,0.00,0.00,22%,6.5
155,Alexander Djiku,Caen,Ghana,26,2520,0,0,10,0,66%,62%,60%,5.2,61.2,2.1,45.6,81%,0.00,0,0.2,0.2,0,0.6,0.1,10,0.0,0,1,0.00,0.00,17%,6.9
156,Papy Djilobodji,Dijon,Senegal,31,2700,0,1,4,1,64%,74%,65%,6.7,67.5,2.4,51.0,79%,0.04,1,0.5,0.2,0,0.6,0.2,5,0.0,0,3,0.00,0.00,26%,6.7
157,Somália,Toulouse,Brazil,32,2010,1,0,2,0,71%,35%,49%,1.2,49.9,1.6,26.4,79%,0.00,3,1.7,1.4,0,1.2,0.4,9,0.0,0,0,0.05,0.05,33%,6.4
158,Keagan Dolly,Montpellier,South Africa,27,880,1,2,1,0,58%,33%,40%,0.3,59.4,0.3,37.1,82%,0.21,0,1.4,6.5,0,2.3,0.7,4,0.0,0,0,0.10,0.10,32%,6.2
159,Dória,Marseille,Brazil,26,76,0,0,0,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,-,5.4
160,Gabriel,Troyes,Brazil,22,83,0,0,1,0,-,-,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,5.4
161,Mathieu Dossevi,FC Metz,Togo,32,2517,1,11,2,0,71%,34%,44%,0.3,58.6,1.0,30.8,78%,0.40,18,2.6,8.8,0,1.1,0.4,4,0.0,0,1,0.04,0.04,34%,6.8
162,Julian Draxler,PSG,Germany,27,1706,4,5,1,0,75%,53%,47%,0.4,86.0,1.5,70.6,93%,0.26,9,2.4,1.4,0,1.2,0.5,12,0.0,0,2,0.21,0.21,39%,7.1
163,Léo Dubois,Nantes,France,26,3025,3,4,5,0,80%,50%,54%,2.4,74.2,1.6,40.8,75%,0.12,8,1.1,7.5,0,1.3,0.3,11,0.0,0,6,0.09,0.09,24%,6.9
