,Name,TeamName,Nationality,Age,PlayedTime,Goals,Assists,YellowCards,RedCards,TacklesWon,AerialsWon,DuelsWon,ClearancesP90,TouchesP90,InterceptP90,PassesP90,PassesCompleted,AssistsP90,BigChances,DribblesP90,CrossesP90,PenaltyGoals,ShotsP90,TargetShotsP90,CleanSheets,SavesMade,PenaltySaves,MOM,GoalsP90,NonPenaltyGoalsP90,ShotsAccuracy,AvgRating
133,Niko Gießelmann,Düsseldorf,Germany,29,2056,1,1,6,0,70%,55%,58%,1.8,62.7,1.1,38.8,78%,0.05,2,0.2,3.5,0,0.6,0.1,4,0.0,0,2,0.05,0.05,21%,6.2
134,Rafal Gikiewicz,Union Berlin,Poland,33,2970,0,0,0,0,-,100%,79%,1.0,46.8,0.1,37.2,61%,0.00,1,0.0,0.0,0,0.1,0.0,8,3.2,1,3,0.00,0.00,50%,6.4
135,Daniel Ginczek,Wolfsburg,Germany,29,768,3,1,2,0,74%,42%,36%,0.3,36.9,0.1,22.9,66%,0.12,2,0.6,0.5,0,2.8,0.7,2,0.0,0,1,0.35,0.35,25%,6.0
136,Matthias Ginter,M'gladbach,Germany,26,2781,1,1,2,0,55%,65%,65%,3.8,81.1,0.9,70.6,85%,0.04,3,0.2,0.3,0,0.6,0.2,7,0.0,0,0,0.04,0.04,35%,6.6
137,Klaus Gjasula,SC Paderborn,Albania,30,2295,2,1,17,0,56%,51%,50%,1.9,59.0,1.2,45.2,77%,0.04,1,0.8,0.2,0,0.6,0.2,5,0.0,0,1,0.08,0.08,36%,6.3
138,Serge Gnabry,Bayern,Germany,25,2203,12,10,0,0,49%,30%,51%,0.1,64.1,0.6,42.1,82%,0.41,22,2.2,2.9,0,3.9,1.7,15,0.0,0,7,0.49,0.49,43%,7.3
139,Akaki Gogia,Union Berlin,Germany,28,120,0,0,0,0,50%,60%,59%,0.0,56.5,0.8,31.2,69%,0.00,0,3.7,1.5,0,0.8,0.0,0,0.0,0,0,0.00,0.00,0%,5.9
140,Benjamin Goller,W. Bremen,Germany,21,280,0,0,0,0,37%,50%,46%,0.3,55.9,0.3,28.9,67%,0.00,0,4.2,1.3,0,0.6,0.0,1,0.0,0,0,0.00,0.00,0%,6.0
141,Jérôme Gondorf,Freiburg,Germany,32,122,0,0,1,0,78%,50%,50%,2.2,48.7,0.7,29.5,73%,0.00,0,0.0,0.0,0,1.5,0.7,1,0.0,0,0,0.00,0.00,50%,6.4
142,Leon Goretzka,Bayern,Germany,25,1513,6,5,2,0,53%,48%,51%,0.5,68.6,1.4,54.3,86%,0.30,4,1.1,0.2,0,2.4,0.9,12,0.0,0,2,0.36,0.36,38%,7.1
143,Mario Götze,Dortmund,Germany,28,515,3,0,0,0,70%,25%,43%,0.2,64.5,0.3,47.4,85%,0.00,3,0.5,1.4,1,1.4,0.9,6,0.0,0,1,0.52,0.35,63%,6.7
144,Jeffrey Gouweleeuw,Augsburg,Netherlands,29,1642,0,1,5,0,54%,57%,57%,5.3,55.1,2.2,41.4,76%,0.05,0,0.4,0.1,0,0.0,0.0,6,0.0,0,0,0.00,0.00,0%,6.3
145,Michael Gregoritsch,Augsburg,Austria,26,1135,1,1,2,0,64%,50%,45%,1.4,37.4,0.4,23.9,65%,0.08,2,0.3,0.3,0,2.2,0.7,3,0.0,0,0,0.08,0.08,32%,5.9
146,Vincenzo Grifo,Freiburg,Italy,27,1636,4,8,1,1,66%,39%,41%,0.9,58.8,0.8,36.4,79%,0.44,11,1.5,5.6,1,2.7,1.0,4,0.0,0,3,0.22,0.16,37%,6.7
147,Florian Grillitsch,Hoffenheim,Austria,25,2413,0,3,3,0,57%,60%,58%,1.2,81.6,1.9,65.2,89%,0.11,5,1.0,0.5,0,0.6,0.0,6,0.0,0,2,0.00,0.00,6%,6.9
148,Christian Groß,W. Bremen,Germany,31,869,0,0,2,0,82%,46%,52%,4.7,64.4,1.7,48.8,87%,0.00,0,0.7,0.2,0,0.3,0.0,2,0.0,0,0,0.00,0.00,0%,6.4
149,Carlos Gruezo,Augsburg,Ecuador,25,888,0,1,3,0,46%,50%,49%,0.5,38.7,0.5,30.7,82%,0.10,0,0.6,0.2,0,0.6,0.0,3,0.0,0,0,0.00,0.00,0%,6.2
150,Marko Grujić,Hertha BSC,Serbia,24,2422,4,1,9,0,56%,67%,53%,2.5,56.1,0.8,40.4,79%,0.04,1,1.1,0.2,0,1.3,0.5,8,0.0,0,2,0.15,0.15,36%,6.6
151,Raphaël Guerreiro,Dortmund,Portugal,26,2340,8,2,3,0,57%,30%,53%,0.8,95.6,1.7,72.1,89%,0.08,5,1.4,2.7,0,1.5,0.6,13,0.0,0,2,0.31,0.31,40%,7.3
152,Babacar Guèye,SC Paderborn,Senegal,25,109,0,0,0,0,-,17%,22%,2.5,36.3,0.0,20.6,80%,0.00,0,0.0,0.0,0,1.6,0.0,0,0.0,0,0,0.00,0.00,0%,5.6
153,Josuha Guilavogui,Wolfsburg,France,30,2063,0,1,6,0,63%,59%,52%,2.7,58.0,2.0,42.9,81%,0.05,2,0.6,0.3,0,1.0,0.3,6,0.0,0,0,0.00,0.00,25%,6.7
